slice_target,lon_bin,base_count,target_full_count,rarefied_count_median,rarefied_count_q025,rarefied_count_q975
slice_70000_60000,"[-10,-8)",1,1,1,0,1
slice_70000_60000,"[-8,-6)",0,0,0,0,0
slice_70000_60000,"[-6,-4)",1,2,2,0,2
slice_70000_60000,"[-4,-2)",6,7,5,3,7
slice_70000_60000,"[-2,0)",3,5,4,2,5
slice_70000_60000,"[0,2)",8,15,11,8,14
slice_70000_60000,"[2,4)",4,4,3,1,4
slice_70000_60000,"[4,6)",6,5,4,2,5
slice_70000_60000,"[6,8)",6,9,7,4,9
slice_70000_60000,"[8,10)",2,3,2,1,3
slice_70000_60000,"[10,12)",5,9,7,4,9
slice_70000_60000,"[12,14)",4,4,3,1,4
slice_70000_60000,"[14,16)",0,0,0,0,0
slice_70000_60000,"[16,18)",5,4,3,1,4
slice_70000_60000,"[18,20)",7,5,4,2,5
slice_70000_60000,"[20,22)",0,0,0,0,0
slice_70000_60000,"[22,24)",0,3,2,1,3
slice_70000_60000,"[24,26)",0,0,0,0,0
slice_70000_60000,"[26,28)",0,0,0,0,0
slice_70000_60000,"[28,30)",0,0,0,0,0
slice_70000_60000,"[30,32)",0,1,1,0,1
slice_70000_60000,"[32,34)",0,0,0,0,0
slice_70000_60000,"[34,36)",1,4,3,1,4
slice_70000_60000,"[36,38)",0,0,0,0,0
slice_70000_60000,"[38,40]",1,2,2,0,2
slice_60000_50000,"[-10,-8)",1,2,1,0,2
slice_60000_50000,"[-8,-6)",0,0,0,0,0
slice_60000_50000,"[-6,-4)",1,2,1,0,2
slice_60000_50000,"[-4,-2)",6,7,4,2,6
slice_60000_50000,"[-2,0)",3,5,3,1,5
slice_60000_50000,"[0,2)",8,21,13,9,17
slice_60000_50000,"[2,4)",4,5,3,1,5
slice_60000_50000,"[4,6)",6,8,5,2,7
slice_60000_50000,"[6,8)",6,9,5,3,8
slice_60000_50000,"[8,10)",2,3,2,0,3
slice_60000_50000,"[10,12)",5,6,4,1,6
slice_60000_50000,"[12,14)",4,5,3,1,5
slice_60000_50000,"[14,16)",0,1,1,0,1
slice_60000_50000,"[16,18)",5,6,4,1,6
slice_60000_50000,"[18,20)",7,6,4,1,6
slice_60000_50000,"[20,22)",0,2,1,0,2
slice_60000_50000,"[22,24)",0,4,2,1,4
slice_60000_50000,"[24,26)",0,0,0,0,0
slice_60000_50000,"[26,28)",0,0,0,0,0
slice_60000_50000,"[28,30)",0,0,0,0,0
slice_60000_50000,"[30,32)",0,1,1,0,1
slice_60000_50000,"[32,34)",0,0,0,0,0
slice_60000_50000,"[34,36)",1,3,2,0,3
slice_60000_50000,"[36,38)",0,0,0,0,0
slice_60000_50000,"[38,40]",1,2,1,0,2
slice_50000_40000,"[-10,-8)",1,2,1,0,2
slice_50000_40000,"[-8,-6)",0,0,0,0,0
slice_50000_40000,"[-6,-4)",1,2,1,0,2
slice_50000_40000,"[-4,-2)",6,8,4,2,7
slice_50000_40000,"[-2,0)",3,6,3,1,5
slice_50000_40000,"[0,2)",8,24,12,8,17
slice_50000_40000,"[2,4)",4,8,4,1.9750000000000014,7
slice_50000_40000,"[4,6)",6,12,6,3,10
slice_50000_40000,"[6,8)",6,6,3,1,5
slice_50000_40000,"[8,10)",2,3,2,0,3
slice_50000_40000,"[10,12)",5,7,4,1,6
slice_50000_40000,"[12,14)",4,4,2,0,4
slice_50000_40000,"[14,16)",0,3,2,0,3
slice_50000_40000,"[16,18)",5,5,3,1,5
slice_50000_40000,"[18,20)",7,9,5,2,7
slice_50000_40000,"[20,22)",0,5,3,1,5
slice_50000_40000,"[22,24)",0,4,2,0,4
slice_50000_40000,"[24,26)",0,0,0,0,0
slice_50000_40000,"[26,28)",0,1,1,0,1
slice_50000_40000,"[28,30)",0,0,0,0,0
slice_50000_40000,"[30,32)",0,0,0,0,0
slice_50000_40000,"[32,34)",0,0,0,0,0
slice_50000_40000,"[34,36)",1,4,2,0,4
slice_50000_40000,"[36,38)",0,0,0,0,0
slice_50000_40000,"[38,40]",1,2,1,0,2
